WKT,radio,mcc,net,area,cell,unit,longitude,latitude,range,samples,changeable,created,updated,averageSig,shape_X,shape_Y
POINT (-66.0449981696298 18.3560943595671),UMTS,330,110,41001,1416787,,-66.04499817,18.35609436,1000,1,1,1343097691,1343077840,,-66.04499817,18.35609436
POINT (-65.9282684298441 18.3190154995657),UMTS,330,110,41001,1412558,,-65.92826843,18.3190155,1000,1,1,1343779392,1343759549,,-65.92826843,18.3190155
POINT (-66.4867250003584 18.1322480004449),UMTS,330,110,51001,777027,,-66.486725,18.132248,1000,500,1,1346371526,1346351196,,-66.486725,18.132248
POINT (-66.487197880078 18.1322479204052),GSM,330,110,53,22211,,-66.48719788,18.13224792,1000,1,1,1346371631,1346349597,,-66.48719788,18.13224792
POINT (-66.893692019571 18.3423614502208),GSM,330,110,54,34213,,-66.89369202,18.34236145,1000,2,1,1347579143,1347551546,,-66.89369202,18.34236145
POINT (-66.2713949997794 18.4057289999934),GSM,330,110,51,20511,,-66.271395,18.405729,1000,7,1,1347698541,1347597890,,-66.271395,18.405729
POINT (-66.8840789800608 18.324508670139),GSM,330,110,54,34212,,-66.88407898,18.32450867,1000,2,1,1347733173,1347712394,,-66.88407898,18.32450867
POINT (-66.7522430400842 18.3753204295942),UMTS,330,110,51004,1010272,,-66.75224304,18.37532043,1000,2,1,1353897416,1353877610,,-66.75224304,18.37532043
POINT (-66.5463970002214 18.0396949996246),UMTS,330,110,41004,1180821,,-66.546397,18.039695,16070,167,1,1357652027,1489701249,,-66.546397,18.039695
POINT (-66.5454899997636 18.0400760001074),UMTS,330,110,41004,1180791,,-66.54549,18.040076,20093,161,1,1357652709,1490461816,,-66.54549,18.040076
POINT (-66.5469359998964 18.0402380003835),UMTS,330,110,41004,1202181,,-66.546936,18.040238,1453,6,1,1357656302,1486184948,,-66.546936,18.040238
POINT (-66.5476230001013 18.047447000079),UMTS,330,110,41004,1180789,,-66.547623,18.047447,1000,4,1,1357660578,1445286688,,-66.547623,18.047447
POINT (-66.5480560002841 18.0367680004429),UMTS,330,110,41004,1202151,,-66.548056,18.036768,1867,19,1,1357677035,1453793187,,-66.548056,18.036768
POINT (-66.5621629997226 18.031270999657),UMTS,330,110,51001,745327,,-66.562163,18.031271,1000,17,1,1357677035,1458026637,,-66.562163,18.031271
POINT (-66.5717579997319 18.0288050001507),UMTS,330,110,51001,745328,,-66.571758,18.028805,1325,40,1,1357677035,1458026637,,-66.571758,18.028805
POINT (-66.5867610000201 18.035088000311),UMTS,330,110,51001,774727,,-66.586761,18.035088,1000,4,1,1357677035,1425603722,,-66.586761,18.035088
POINT (-66.5869580001116 18.0354309999407),UMTS,330,110,51001,774697,,-66.586958,18.035431,1364,14,1,1357677035,1357657341,,-66.586958,18.035431
POINT (-66.5976270001859 18.0384600002289),UMTS,330,110,51001,774699,,-66.597627,18.03846,2409,17,1,1357677035,1423574043,,-66.597627,18.03846
POINT (-66.5873559995797 18.0352020001722),UMTS,330,110,51001,744597,,-66.587356,18.035202,1702,15,1,1357677035,1487706222,,-66.587356,18.035202
POINT (-66.6113950001791 18.0377200002778),UMTS,330,110,51001,744598,,-66.611395,18.03772,3495,48,1,1357677035,1491317341,,-66.611395,18.03772
POINT (-66.6214370001174 18.0360030002383),UMTS,330,110,51001,744999,,-66.621437,18.036003,3970,12,1,1357677035,1435108190,,-66.621437,18.036003
POINT (-66.6221240003223 18.0344010001061),UMTS,330,110,51001,745029,,-66.622124,18.034401,1473,4,1,1357677035,1429286375,,-66.622124,18.034401
POINT (-66.6212460003026 18.0345919999209),UMTS,330,110,51001,744628,,-66.621246,18.034592,2212,18,1,1357677035,1436987613,,-66.621246,18.034592
POINT (-66.6728630001273 18.0435399997712),UMTS,330,110,51001,746428,,-66.672863,18.04354,7492,5,1,1357677035,1450550687,,-66.672863,18.04354
POINT (-66.6463149998373 18.0364870000751),UMTS,330,110,51001,746398,,-66.646315,18.036487,9972,15,1,1357677035,1480220482,,-66.646315,18.036487
POINT (-66.6403960002751 18.0343630001524),UMTS,330,110,51001,744328,,-66.640396,18.034363,1000,18,1,1357677035,1483584193,,-66.640396,18.034363
POINT (-66.6408569999505 18.0282359999915),GSM,330,110,53,23412,,-66.640857,18.028236,1000,46,1,1357677035,1490458495,,-66.640857,18.028236
POINT (-66.6409899997886 18.0237689999394),UMTS,330,110,51001,779527,,-66.64099,18.023769,1000,252,1,1357677035,1357658086,,-66.64099,18.023769
POINT (-66.6410064699726 18.0237579301844),UMTS,330,110,51001,744929,,-66.64100647,18.02375793,1000,5,1,1357677036,1357647683,,-66.64100647,18.02375793
POINT (-66.6411590003875 18.0237269998012),GSM,330,110,53,58611,,-66.641159,18.023727,1366,45,1,1357677036,1376853876,,-66.641159,18.023727
POINT (-66.6217803999455 18.0388641402679),UMTS,330,110,51001,781297,,-66.6217804,18.03886414,1000,2,1,1357677041,1357656663,,-66.6217804,18.03886414
POINT (-66.5750889995576 18.0145680001132),UMTS,330,110,51001,744997,,-66.575089,18.014568,2422,13,1,1357677041,1441053766,,-66.575089,18.014568
POINT (-66.5343480003599 18.0411530003108),UMTS,330,110,41004,1180820,,-66.534348,18.041153,1000,6,1,1357677041,1357657155,,-66.534348,18.041153
POINT (-66.5360869996153 18.0402370003374),UMTS,330,110,41004,1180790,,-66.536087,18.040237,1000,5,1,1357677041,1450210286,,-66.536087,18.040237
POINT (-66.5397260001548 18.0488209995895),UMTS,330,110,41004,1222980,,-66.539726,18.048821,1427,4,1,1357677041,1445286688,,-66.539726,18.048821
POINT (-66.5459100002463 18.038523999583),UMTS,330,110,41004,1233950,,-66.54591,18.038524,7427,4,1,1357677041,1489660696,,-66.54591,18.038524
POINT (-66.5287890003121 18.0520090000154),UMTS,330,110,41004,1233980,,-66.528789,18.052009,1557,7,1,1357677041,1450210286,,-66.528789,18.052009
POINT (-66.5071099997267 18.0417839997319),UMTS,330,110,41004,1202281,,-66.50711,18.041784,5553,8,1,1357677041,1483270632,,-66.50711,18.041784
POINT (-66.5091700002952 18.0429840002115),UMTS,330,110,41004,1233979,,-66.50917,18.042984,1912,3,1,1357677041,1458026637,,-66.50917,18.042984
POINT (-66.5255130003247 18.0519099999466),UMTS,330,110,41004,1202149,,-66.525513,18.05191,1200,10,1,1357677041,1450210286,,-66.525513,18.05191
